date,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",Διάφορα βιομηχανικά είδη,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,Μηχανήματα και υλικό μεταφορών,"Ορυκτά, καύσιμα, λιπαντικά κλπ.",Ποτά και καπνός,"Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",Τρόφιμα και ζωντανά ζώα,Χημικά προϊόντα και συναφή
2002,6790902.0,1689822.0,206985.5,18060.0,36600402.333333336,,3562690.0,17516113.0,23060996.25,1731832.3333333333
2003,7925833.333333333,1985049.3333333333,335706.5,99362.0,5844144.5,187.0,3868161.6666666665,18305439.75,23636783.0,1814430.0
2004,5152540.0,3203903.0,,2257.0,5777270.333333333,,5214596.333333333,24360785.75,39580109.5,650958.0
2005,4935424.333333333,4345122.666666667,162567.0,21099.0,6041144.666666667,6413.0,8462873.0,15845221.25,29012145.5,367292.0
2006,4612611.0,3984479.6666666665,210044.0,1940347.0,6058640.666666667,12655.0,8477809.0,18438250.0,40559844.0,1946089.0
2007,10548213.333333334,3982048.0,373851.0,10594511.0,6247728.0,3510.0,8130265.5,22320245.25,46053966.75,5228638.5
2008,6404826.333333333,4065123.6666666665,439847.0,23071975.0,5431890.0,5942685.0,10330771.0,25926151.5,48253456.25,4877212.0
2009,5248429.666666667,5657272.0,691885.0,11197697.0,3102136.3333333335,6761.0,15531082.0,24213724.0,55209721.333333336,3574024.3333333335
2010,2942606.6666666665,3549430.0,316021.0,64630.0,3925605.0,7382246.0,6669790.0,24766609.0,55494377.666666664,3574349.0
2011,3857579.0,2226390.6666666665,315261.0,31757.0,1167099.0,2367.0,9060933.0,21610340.5,39108188.25,6250009.0
2012,2869617.5,1100312.5,371819.0,,584427.25,19892.0,10287668.5,19166811.25,38094652.75,1938427.25
2013,2981413.0,1023327.0,466482.0,,892678.6666666666,5557.0,8120267.5,25176542.75,39143894.75,2002189.0
2014,2497631.0,1151504.0,344223.0,,648332.0,977940.0,8455627.0,29622534.666666668,39805389.5,3849535.3333333335
2015,2136858.0,1192284.6666666667,248670.0,,381475.6666666667,3500951.0,9037032.0,21159340.0,39515889.5,4643418.5
2016,2082201.0,1272026.6666666667,405145.0,21395.0,374830.3333333333,2300759.0,4953300.0,20326781.25,62322637.0,3997326.5
2017,901511.3333333334,1032043.25,285084.0,46009.0,392448.3333333333,8147.0,4873225.666666667,23344030.75,39487657.75,5880401.0
2018,1212582.75,1093285.5,314636.0,62068.0,599328.0,8635.0,6265380.666666667,22959561.25,49171456.75,1364167.0
2019,1191777.3333333333,1172670.0,235416.0,64217.5,1714064.0,3944.5,8530976.0,20476582.5,50907215.75,3634400.0
2020,831398.5,985602.25,209391.0,18608.0,737460.6666666666,16812976.0,5081644.666666667,21998876.75,55920319.25,1899354.0
2021,1770365.6666666667,680401.5,274601.0,52472.5,814966.3333333334,1893783.6666666667,7247051.0,28404569.75,70382228.5,2075287.0
2022,3457983.0,1223246.5,,62935.5,1746815.25,12238742.0,10487494.0,46696872.0,86217778.25,3691303.0
2023,2707700.3333333335,1237480.5,,104237.0,2612169.25,86606439.0,29683390.5,38643827.75,93095794.0,5309596.0
2024,2385342.5,1502079.3333333333,,149114.33333333334,3042280.3333333335,11986.0,17142402.333333332,39228794.75,99778458.5,2676966.75
2025,3194098.25,1269435.25,207.0,171114.0,2265039.75,2950939.0,28274504.5,42652261.0,105699515.25,3157519.0
